Dye,Camera,Laser,Intensity
DY395XL,405,405,4.15729180695848
DY395XL,405,445,0
DY395XL,405,470,-0.260386193085552
DY395XL,405,520,0.118156950771322
DY395XL,405,555,-0.267902136836781
DY395XL,405,640,-0.352837767654762
DY395XL,405,730,-0.159747320701555
DY395XL,470,405,40.8926499196761
DY395XL,470,445,13.0227307497634
DY395XL,470,470,-0.302045729627423
DY395XL,470,520,262.226260249554
DY395XL,470,555,1.75218624149997
DY395XL,470,640,-0.374883629321545
DY395XL,470,730,-0.209081644330013
DY395XL,555,405,244.196901564666
DY395XL,555,445,443.885096872868
DY395XL,555,470,107.52746077331
DY395XL,555,520,0.86330133579807
DY395XL,555,555,11.6320458396602
DY395XL,555,640,0.934985915802912
DY395XL,555,730,-0.173921722673356
DY395XL,640,405,62.1481508109417
DY395XL,640,445,215.955963469114
DY395XL,640,470,72.1950112453511
DY395XL,640,520,11.8822839726238
DY395XL,640,555,25.1890749323298
DY395XL,640,640,29.170537312119
DY395XL,640,730,0.973197178759278
DY400XL,405,405,284.935709205343
DY400XL,405,445,0
DY400XL,405,470,13.9345970379173
DY400XL,405,520,0.00872656851741738
DY400XL,405,555,-0.216171255033999
DY400XL,405,640,-0.295698180057656
DY400XL,405,730,0.0206517902335008
DY400XL,470,405,2772.66715827117
DY400XL,470,445,1404.11019064281
DY400XL,470,470,148.533784753857
DY400XL,470,520,48.1848734402884
DY400XL,470,555,1.80809891947801
DY400XL,470,640,-0.0459487907396294
DY400XL,470,730,0.00442540877180875
DY400XL,555,405,536.59778070465
DY400XL,555,445,741.31609033692
DY400XL,555,470,-3.42617853920467
DY400XL,555,520,2.35325958935763
DY400XL,555,555,12.4265068110297
DY400XL,555,640,0.493881186593597
DY400XL,555,730,-0.448939790057437
DY400XL,640,405,70.4471419643054
DY400XL,640,445,197.370170286745
DY400XL,640,470,43.9197426333047
DY400XL,640,520,12.4507003587069
DY400XL,640,555,24.9707439977113
DY400XL,640,640,28.5334781584912
DY400XL,640,730,0.829884003433023
DY405,405,405,4816.30878739464
DY405,405,445,0
DY405,405,470,0.0473194692018239
DY405,405,520,-0.0523072555621553
DY405,405,555,-0.101167535925711
DY405,405,640,-0.230423934332435
DY405,405,730,-0.195526594925298
DY405,470,405,700.770856385203
DY405,470,445,8.59260229748466
DY405,470,470,-19.9098448537664
DY405,470,520,94.8316791443867
DY405,470,555,1.6448843775445
DY405,470,640,-0.11493116348673
DY405,470,730,-0.0497757531744583
DY405,555,405,18.3800414603552
DY405,555,445,-40.1186678110077
DY405,555,470,-64.7121708149028
DY405,555,520,-0.77576193305606
DY405,555,555,10.0582731233908
DY405,555,640,0.142607469025762
DY405,555,730,-0.495582843687416
DY405,640,405,10.8391779010145
DY405,640,445,42.7559325278933
DY405,640,470,35.347260117515
DY405,640,520,10.6126468827711
DY405,640,555,23.627713694681
DY405,640,640,27.8253329812284
DY405,640,730,0.936233445566785
CF405L,405,405,9.73181386853281
CF405L,405,445,0
CF405L,405,470,0.50998723619638
CF405L,405,520,0.0327284830879648
CF405L,405,555,0.0745912061794485
CF405L,405,640,-0.0218369534121194
CF405L,405,730,0.0942238066944014
CF405L,470,405,1952.95359100812
CF405L,470,445,341.482357342488
CF405L,470,470,322.898590061838
CF405L,470,520,109.27509090909
CF405L,470,555,1.83871891023524
CF405L,470,640,-0.304993706124421
CF405L,470,730,-0.277971039369731
CF405L,555,405,2371.45377982439
CF405L,555,445,2564.23873352259
CF405L,555,470,381.810317224533
CF405L,555,520,0.776161440109149
CF405L,555,555,10.3754535111463
CF405L,555,640,0.135178319139101
CF405L,555,730,-0.467852181950221
CF405L,640,405,278.461307629674
CF405L,640,445,550.571071301248
CF405L,640,470,86.7811785392047
CF405L,640,520,11.1880779472283
CF405L,640,555,23.8401946480051
CF405L,640,640,29.4172772606237
CF405L,640,730,0.931184238903199
ATTO425,405,405,156.720492814859
ATTO425,405,445,0
ATTO425,405,470,366.140357056403
ATTO425,405,520,0.619802315089899
ATTO425,405,555,0.36087526682951
ATTO425,405,640,0.00653757619771511
ATTO425,405,730,0.0773673334653751
ATTO425,470,405,3490.16385854185
ATTO425,470,445,19363.7777298915
ATTO425,470,470,17579.3781266698
ATTO425,470,520,125.462285204994
ATTO425,470,555,1.91482051451332
ATTO425,470,640,-0.465554587267007
ATTO425,470,730,-0.251965075592537
ATTO425,555,405,193.914461103409
ATTO425,555,445,2091.64394953896
ATTO425,555,470,876.279098985498
ATTO425,555,520,-0.226637441957706
ATTO425,555,555,10.5222189872582
ATTO425,555,640,0.23279580114874
ATTO425,555,730,-0.405235426157006
ATTO425,640,405,17.9383985827777
ATTO425,640,445,204.063360071301
ATTO425,640,470,75.234503510046
ATTO425,640,520,9.7921632446469
ATTO425,640,555,22.1931529015647
ATTO425,640,640,26.1892446469048
ATTO425,640,730,0.646405426817196
DY485XL,405,405,4.94786397746527
DY485XL,405,445,0
DY485XL,405,470,0.0766620672960556
DY485XL,405,520,0.387449615985574
DY485XL,405,555,0.457771241830073
DY485XL,405,640,0.00238047138047648
DY485XL,405,730,0.128147421931743
DY485XL,470,405,32.4881584692238
DY485XL,470,445,39.8812794392729
DY485XL,470,470,1565.8924500121
DY485XL,470,520,175.148338680927
DY485XL,470,555,53.6498231332937
DY485XL,470,640,-0.464772166105504
DY485XL,470,730,-0.381470522215622
DY485XL,555,405,125.955502607777
DY485XL,555,445,3406.22735322726
DY485XL,555,470,8976.93807623072
DY485XL,555,520,7136.19807992782
DY485XL,555,555,628.656204594969
DY485XL,555,640,0.468756255364099
DY485XL,555,730,-0.318395986003822
DY485XL,640,405,19.6422017561233
DY485XL,640,445,495.776346889373
DY485XL,640,470,695.847222948439
DY485XL,640,520,912.577207433815
DY485XL,640,555,75.8395607270967
DY485XL,640,640,27.8926609449616
DY485XL,640,730,0.991878743865669
AF488,405,405,4.49667214629959
AF488,405,445,0
AF488,405,470,0.100675733368547
AF488,405,520,0.246457714398886
AF488,405,555,0.120177152791541
AF488,405,640,-0.210300807640678
AF488,405,730,-0.0325042142558516
AF488,470,405,269.187258753108
AF488,470,445,952.879017121102
AF488,470,470,43890.1993407495
AF488,470,520,378.913393939394
AF488,470,555,12.0757907396404
AF488,470,640,-0.16772452190753
AF488,470,730,0.0120720934838658
AF488,555,405,38.762954446425
AF488,555,445,1353.66057098215
AF488,555,470,4987.61984087058
AF488,555,520,727.549499526859
AF488,555,555,23.7129159789617
AF488,555,640,0.738815981162389
AF488,555,730,-0.395530446072925
AF488,640,405,11.6331315552034
AF488,640,445,125.585165885434
AF488,640,470,206.856386985322
AF488,640,520,58.0959415065689
AF488,640,555,25.1550035210492
AF488,640,640,30.2496470588235
AF488,640,730,0.813840034330227
DY520XL,405,405,4.82721665456307
DY520XL,405,445,0
DY520XL,405,470,0.0701360885543778
DY520XL,405,520,0.270246033317932
DY520XL,405,555,0.274986906098022
DY520XL,405,640,0.233491406439128
DY520XL,405,730,0.190973063973061
DY520XL,470,405,8.1338987258203
DY520XL,470,445,7.21107372196914
DY520XL,470,470,-26.5410680222706
DY520XL,470,520,253.373885918001
DY520XL,470,555,1.96338808564953
DY520XL,470,640,-0.228759688387129
DY520XL,470,730,-0.15124194009816
DY520XL,555,405,13.6482955480733
DY520XL,555,445,52.7568539644814
DY520XL,555,470,140.479611606259
DY520XL,555,520,538.237348979996
DY520XL,555,555,828.570689223389
DY520XL,555,640,21.1350689465461
DY520XL,555,730,-0.147801786932519
DY520XL,640,405,81.219585550494
DY520XL,640,445,1038.90961266257
DY520XL,640,470,1436.81916364077
DY520XL,640,520,6730.42058169935
DY520XL,640,555,7595.75318630752
DY520XL,640,640,607.635846504258
DY520XL,640,730,1.02325278933122
AF532,405,405,3.25064316366277
AF532,405,445,0
AF532,405,470,-0.580206817631648
AF532,405,520,-0.141317224532912
AF532,405,555,-0.194789507273171
AF532,405,640,-0.234396492154673
AF532,405,730,-0.2524585506481
AF532,470,405,21.927634691138
AF532,470,445,25.7091644770142
AF532,470,470,1081.01191938998
AF532,470,520,125.54997504456
AF532,470,555,730.766652164345
AF532,470,640,-0.730384080455977
AF532,470,730,-0.576576197706927
AF532,555,405,60.4563841244691
AF532,555,445,1258.92975112784
AF532,555,470,5227.91052131335
AF532,555,520,32454.1278887128
AF532,555,555,6091.53212620761
AF532,555,640,0.388077991241388
AF532,555,730,-0.616450716313452
AF532,640,405,13.8242463634163
AF532,640,445,166.665314341674
AF532,640,470,303.135520741181
AF532,640,520,2744.34931528796
AF532,640,555,335.738298364913
AF532,640,640,28.7420016064787
AF532,640,730,0.829631214101795
AF594,405,405,4.60006051803437
AF594,405,445,0
AF594,405,470,-0.425411236548499
AF594,405,520,-0.460130873000153
AF594,405,555,-0.529887832574104
AF594,405,640,-0.740635769459303
AF594,405,730,-0.510955788825072
AF594,470,405,7.16199192359323
AF594,470,445,7.17988481767566
AF594,470,470,-25.8907847318501
AF594,470,520,192.962506238859
AF594,470,555,1.94468321559825
AF594,470,640,-0.376724081776359
AF594,470,730,-0.00192262494222462
AF594,555,405,430.5575694637
AF594,555,445,94.9380743821659
AF594,555,470,132.1232969785
AF594,555,520,2116.67313784908
AF594,555,555,12247.559369006
AF594,555,640,587.618235998327
AF594,555,730,-0.587077705156133
AF594,640,405,184.483694945094
AF594,640,445,123.345874804692
AF594,640,470,109.469054378205
AF594,640,520,1156.7959416166
AF594,640,555,4730.78960931758
AF594,640,640,330.29539536982
AF594,640,730,0.915542857771626
AF647,405,405,5.89032257212648
AF647,405,445,0
AF647,405,470,-0.0812944037323007
AF647,405,520,0.390141414141425
AF647,405,555,0.238793380427367
AF647,405,640,0.418136616711777
AF647,405,730,0.081501507449218
AF647,470,405,9.00215664267952
AF647,470,445,11.6641941198477
AF647,470,470,3.95764760898743
AF647,470,520,159.242663101606
AF647,470,555,1.68627525802688
AF647,470,640,-0.500010343082238
AF647,470,730,-0.360890495367613
AF647,555,405,6.02847215070094
AF647,555,445,-31.9235140731938
AF647,555,470,-57.446465922845
AF647,555,520,11.0767671706168
AF647,555,555,51.3294512004577
AF647,555,640,112.201849519157
AF647,555,730,-0.0318267863823394
AF647,640,405,76.8478672124293
AF647,640,445,137.5610687925
AF647,640,470,218.198477828393
AF647,640,520,2138.49139242094
AF647,640,555,11617.7731279461
AF647,640,640,65187.730271825
AF647,640,730,6.97104627979138
AF750,405,405,4.49993406835236
AF750,405,445,0
AF750,405,470,-0.31149734820977
AF750,405,520,0.0665624436081913
AF750,405,555,-0.0240667238837204
AF750,405,640,-0.0325975000550187
AF750,405,730,-0.413924121388178
AF750,470,405,8.2753232983429
AF750,470,445,10.5591252173147
AF750,470,470,-5.99371431086465
AF750,470,520,109.186955436722
AF750,470,555,1.80165493717128
AF750,470,640,-0.071967540327023
AF750,470,730,-0.0132602935674839
AF750,555,405,6.27630736559493
AF750,555,445,-25.0286412710988
AF750,555,470,-38.8245338570894
AF750,555,520,60.6085907440417
AF750,555,555,181.366332255012
AF750,555,640,0.781065337470565
AF750,555,730,-0.543804339693239
AF750,640,405,76.3021966285953
AF750,640,445,170.934298078828
AF750,640,470,62.9456248982197
AF750,640,520,124.07451748421
AF750,640,555,296.013841288704
AF750,640,640,1412.56249356308
AF750,640,730,12724.0944325389
CF750,405,405,5.9463011597456
CF750,405,445,0
CF750,405,470,-0.0889260799718414
CF750,405,520,-0.0100490746242485
CF750,405,555,-0.164481591514274
CF750,405,640,-0.43531071059175
CF750,405,730,-0.321448757729812
CF750,470,405,9.10523855108821
CF750,470,445,8.32780400959487
CF750,470,470,-22.7360344622697
CF750,470,520,255.355344028518
CF750,470,555,1.92069001562466
CF750,470,640,-0.413779934420447
CF750,470,730,-0.290425562817717
CF750,555,405,6.6986595365419
CF750,555,445,-41.2347648819348
CF750,555,470,-65.2718117999164
CF750,555,520,33.2091067978257
CF750,555,555,113.894134570102
CF750,555,640,1.24726123984946
CF750,555,730,-0.57427858101714
CF750,640,405,51.3097226293435
CF750,640,445,124.478576505799
CF750,640,470,55.0227047600185
CF750,640,520,74.0632769525319
CF750,640,555,206.950905217755
CF750,640,640,1107.92032241808
CF750,640,730,6708.52548678506
